Index	Loss
0	1.141236
1	1.667774
2	1.884629
3	1.892166
4	1.585779
5	1.590507
6	1.675933
7	1.900021
8	1.538257
9	1.773331
10	1.680804
11	1.455304
12	2.075387
13	2.126381
14	2.054842
15	1.532141
16	1.722975
17	2.002797
18	1.509100
19	1.660159
20	2.113570
21	1.988818
22	1.507148
23	1.221271
24	1.664783
25	1.539744
26	1.704710
27	1.903603
28	1.532801
29	1.412001
30	1.565022
31	1.723416
32	1.980730
33	1.755524
34	1.621639
35	1.760965
36	1.654897
37	1.745233
38	1.643464
39	1.624376
40	2.178193
41	1.899313
42	1.906290
43	1.961105
44	1.745860
45	1.393021
46	2.060970
47	1.951795
48	1.787760
49	1.393331
50	2.175059
51	1.706064
52	1.546378
53	1.528643
54	1.570842
55	1.893773
56	2.121526
57	1.655684
58	1.288761
59	1.658705
60	1.865561
61	1.728347
62	1.674721
63	1.432677
64	2.040418
65	1.574682
66	1.654396
67	1.887428
68	1.958429
69	1.805773
70	1.868274
71	1.906800
72	1.773398
73	2.073814
74	1.504509
75	1.619010
76	1.788127
77	1.898766
78	1.625439
79	1.446474
80	2.319607
81	1.498605
82	1.756277
83	1.580477
84	2.195738
85	2.116105
86	2.000731
87	1.810086
88	1.861186
89	1.673251
90	1.472206
91	1.852457
92	1.450208
93	1.318737
94	1.718714
95	1.538122
96	1.990059
97	2.238384
98	1.811701
99	1.631215
100	1.826738
101	1.406716
102	1.716274
103	1.747024
104	1.201047
105	1.737625
106	1.722630
107	1.809670
108	1.984995
109	2.169406
110	1.833323
111	1.880697
112	1.231615
113	1.839521
114	1.805739
115	1.269181
116	1.565740
117	1.217722
118	1.842214
119	2.014511
120	1.873816
121	1.563201
122	1.684861
123	2.221179
124	1.850550
125	1.559057
126	1.906065
127	1.727193
128	1.816231
129	1.627259
130	1.780807
131	1.972730
132	1.483776
133	1.979010
134	1.872152
135	1.647989
136	1.580477
137	1.764876
138	1.945514
139	1.660478
140	1.420061
141	1.672526
142	1.289972
143	1.323769
144	1.829677
145	1.734353
146	1.877385
147	1.917706
148	1.574057
149	1.901747
150	1.994062
151	1.906840
152	1.717944
153	1.811126
154	1.674045
155	1.747557
156	1.432227
157	1.446664
158	2.227186
159	2.012466
160	2.102490
161	1.651171
162	1.980165
163	1.418792
164	1.657508
165	1.400710
166	1.459286
167	1.969537
168	1.489783
169	1.970374
170	1.618255
171	1.630701
172	2.071577
173	1.600312
174	2.053402
175	1.673237
176	1.559099
177	1.374404
178	1.801749
179	1.839888
180	1.466532
181	1.791137
182	1.651964
183	1.544057
184	1.703901
185	1.765875
186	1.669072
187	1.692855
188	1.666019
189	1.736795
190	2.009640
191	1.733814
192	1.285663
193	1.540704
194	1.665219
195	1.672918
196	1.918786
197	1.842501
198	1.788568
199	1.674863
200	1.552821
201	2.033552
202	1.201958
203	1.957988
204	2.136466
205	1.933061
206	1.787102
