filename,rhythmic_intensity,pitch_entropy,note_density,pitch_range,duration,note_count,file_size
baseline.mid,0.8205128205128205,0.943804641687076,7.548394645168839,53,80.546928,608,3809
curriculum.mid,0.3684210526315789,0.8523482399184937,5.609423891972369,49,40.111070999999995,225,1625
